date_time,location,station,pm2_5,pm10,temperature
1/28/2025,Bangkok,สำนักงานเขตดินแดง,29,77,28
1/28/2025,Bangkok,กรมอุตุนิยมวิทยาบางนา,29.9,82,28
1/28/2025,Bangkok,มหาวิทยาลัยเกษตรศาสตร์,32.5,NaN,29
1/28/2025,Nonthaburi,กรมควบคุมโรค,26.1,55,29
1/28/2025,Pathumthani,มหาวิทยาลัยกรุงเทพ,31.1,65,29
1/28/2025,Samut Prakan,บ้านพักกรมอุตสาหกรรมพื้นฐานและการเหมืองแร่,21.7,NaN,28
1/28/2025,Samut Sakhon,แขวงการทางสมุทรสาคร,45.2,NaN,30
1/28/2025,Nakhon Pathom,อ่างเก็บน้ำประปา,11.3,54,NaN
1/29/2025,Bangkok,สำนักงานเขตดินแดง,28.9,61,28
1/29/2025,Bangkok,กรมอุตุนิยมวิทยาบางนา,29.9,75,28
1/29/2025,Bangkok,มหาวิทยาลัยเกษตรศาสตร์,30.3,NaN,28
1/29/2025,Nonthaburi,กรมควบคุมโรค,24.4,46,30
1/29/2025,Pathumthani,มหาวิทยาลัยกรุงเทพ,27.9,56,29
1/29/2025,Samut Prakan,บ้านพักกรมอุตสาหกรรมพื้นฐานและการเหมืองแร่,16.7,NaN,28
1/29/2025,Samut Sakhon,แขวงการทางสมุทรสาคร,33.1,NaN,31
1/29/2025,Nakhon Pathom,อ่างเก็บน้ำประปา,22.5,60,NaN
1/30/2025,Bangkok,สำนักงานเขตดินแดง,33.8,77,30
1/30/2025,Bangkok,กรมอุตุนิยมวิทยาบางนา,37.9,96,30
1/30/2025,Bangkok,มหาวิทยาลัยเกษตรศาสตร์,35.1,NaN,30
1/30/2025,Nonthaburi,กรมควบคุมโรค,30.8,51,32
1/30/2025,Pathumthani,มหาวิทยาลัยกรุงเทพ,25.2,62,30
1/30/2025,Samut Prakan,บ้านพักกรมอุตสาหกรรมพื้นฐานและการเหมืองแร่,42.2,NaN,30
1/30/2025,Samut Sakhon,แขวงการทางสมุทรสาคร,43.1,NaN,33
1/30/2025,Nakhon Pathom,อ่างเก็บน้ำประปา,29.6,66,NaN
1/31/2025,Bangkok,สำนักงานเขตดินแดง,51.5,104,31
1/31/2025,Bangkok,กรมอุตุนิยมวิทยาบางนา,54.9,160,30
1/31/2025,Bangkok,มหาวิทยาลัยเกษตรศาสตร์,13.3,NaN,32
1/31/2025,Nonthaburi,กรมควบคุมโรค,47.2,85,33
1/31/2025,Pathumthani,มหาวิทยาลัยกรุงเทพ,46.8,87,33
1/31/2025,Samut Prakan,บ้านพักกรมอุตสาหกรรมพื้นฐานและการเหมืองแร่,43.3,NaN,30
1/31/2025,Samut Sakhon,แขวงการทางสมุทรสาคร,63.2,NaN,32
1/31/2025,Nakhon Pathom,อ่างเก็บน้ำประปา,48.2,65,NaN
2/1/2025,Bangkok,สำนักงานเขตดินแดง,59.4,111,33
2/1/2025,Bangkok,กรมอุตุนิยมวิทยาบางนา,58.9,185,31
2/1/2025,Bangkok,มหาวิทยาลัยเกษตรศาสตร์,51.4,NaN,33
2/1/2025,Nonthaburi,กรมควบคุมโรค,45.6,78,34
2/1/2025,Pathumthani,มหาวิทยาลัยกรุงเทพ,50,97,35
2/1/2025,Samut Prakan,บ้านพักกรมอุตสาหกรรมพื้นฐานและการเหมืองแร่,39.4,NaN,32
2/1/2025,Samut Sakhon,แขวงการทางสมุทรสาคร,79.4,NaN,33
2/1/2025,Nakhon Pathom,อ่างเก็บน้ำประปา,62.9,83,NaN
2/2/2025,Bangkok,สำนักงานเขตดินแดง,40.1,71,34
2/2/2025,Bangkok,กรมอุตุนิยมวิทยาบางนา,45.6,92,32
2/2/2025,Bangkok,มหาวิทยาลัยเกษตรศาสตร์,49.4,NaN,34
2/2/2025,Nonthaburi,กรมควบคุมโรค,40.6,82,36
2/2/2025,Pathumthani,มหาวิทยาลัยกรุงเทพ,42,72,36
2/2/2025,Samut Prakan,บ้านพักกรมอุตสาหกรรมพื้นฐานและการเหมืองแร่,31.8,NaN,32
2/2/2025,Samut Sakhon,แขวงการทางสมุทรสาคร,55.3,NaN,34
2/2/2025,Nakhon Pathom,อ่างเก็บน้ำประปา,40.1,54,NaN
2/3/2025,Bangkok,สำนักงานเขตดินแดง,42.1,77,NaN
2/3/2025,Bangkok,กรมอุตุนิยมวิทยาบางนา,47.4,84,32
2/3/2025,Bangkok,มหาวิทยาลัยเกษตรศาสตร์,44.5,NaN,34
2/3/2025,Nonthaburi,กรมควบคุมโรค,43,82,36
2/3/2025,Pathumthani,มหาวิทยาลัยกรุงเทพ,46.3,93,35
2/3/2025,Samut Prakan,บ้านพักกรมอุตสาหกรรมพื้นฐานและการเหมืองแร่,28.6,NaN,32
2/3/2025,Samut Sakhon,แขวงการทางสมุทรสาคร,52.7,NaN,34
2/3/2025,Nakhon Pathom,อ่างเก็บน้ำประปา,17.7,51,NaN
